iter	Passed	Remaining
0	229	228855
1	268	134099
2	310	103086
3	347	86442
4	381	75889
5	419	69426
6	462	65598
7	501	62247
8	539	59380
9	574	56910
10	609	54789
11	645	53139
12	681	51717
13	716	50455
14	750	49275
15	785	48330
16	820	47449
17	854	46596
18	889	45933
19	927	45444
20	963	44910
21	998	44376
22	1037	44074
23	1074	43676
24	1113	43411
25	1148	43029
26	1186	42774
27	1223	42486
28	1264	42346
29	1303	42144
30	1336	41778
31	1368	41392
32	1405	41196
33	1442	40984
34	1476	40705
35	1511	40472
36	1545	40216
37	1579	39978
38	1618	39870
39	1652	39669
40	1687	39467
41	1722	39300
42	1758	39133
43	1794	38999
44	1830	38855
45	1868	38754
46	1903	38605
47	1940	38493
48	1975	38336
49	2009	38179
50	2046	38076
51	2079	37916
52	2115	37793
53	2150	37671
54	2186	37573
55	2224	37490
56	2260	37400
57	2293	37256
58	2331	37184
59	2368	37108
60	2403	36999
61	2434	36837
62	2469	36728
63	2503	36608
64	2536	36492
65	2570	36374
66	2604	36275
67	2638	36164
68	2673	36078
69	2703	35918
70	2736	35805
71	2767	35673
72	2798	35532
73	2828	35393
74	2859	35263
75	2894	35186
76	2930	35130
77	2966	35063
78	3002	35009
79	3037	34931
80	3072	34864
81	3106	34778
82	3141	34712
83	3175	34632
84	3207	34524
85	3241	34449
86	3271	34333
87	3307	34279
88	3341	34203
89	3375	34129
90	3412	34090
91	3447	34027
92	3482	33961
93	3513	33868
94	3552	33841
95	3586	33775
96	3621	33709
97	3653	33628
98	3687	33563
99	3722	33506
100	3760	33471
101	3792	33387
102	3828	33338
103	3860	33263
104	3892	33175
105	3932	33166
106	3969	33126
107	4004	33070
108	4037	33004
109	4073	32955
110	4107	32893
111	4136	32800
112	4169	32728
113	4206	32691
114	4240	32636
115	4278	32606
116	4313	32554
117	4346	32491
118	4382	32445
119	4415	32378
120	4448	32313
121	4480	32242
122	4514	32191
123	4551	32150
124	4584	32090
125	4616	32022
126	4646	31943
127	4677	31867
128	4710	31802
129	4743	31743
130	4774	31674
131	4806	31604
132	4839	31549
133	4874	31499
134	4911	31467
135	4946	31425
